route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
16509,SFMTA,1,CALIFORNIA, ,3,https://SFMTA.com/1              , , 
16514,SFMTA,5,FULTON, ,3,https://SFMTA.com/5              , , 
16517,SFMTA,7,HAIGHT-NORIEGA, ,3,https://SFMTA.com/7              , , 
16519,SFMTA,8,BAYSHORE, ,3,https://SFMTA.com/8              , , 
16522,SFMTA,9,SAN BRUNO, ,3,https://SFMTA.com/9              , , 
16523,SFMTA,9R,SAN BRUNO RAPID, ,3,https://SFMTA.com/9R             , , 
16525,SFMTA,12,FOLSOM-PACIFIC, ,3,https://SFMTA.com/12             , , 
16526,SFMTA,14,MISSION, ,3,https://SFMTA.com/14             , , 
16527,SFMTA,14R,MISSION RAPID, ,3,https://SFMTA.com/14R            , , 
16529,SFMTA,15,BAYVIEW HUNTERS POINT EXPRESS, ,3,https://SFMTA.com/15             , , 
16531,SFMTA,19,POLK, ,3,https://SFMTA.com/19             , , 
16533,SFMTA,22,FILLMORE, ,3,https://SFMTA.com/22             , , 
16535,SFMTA,24,DIVISADERO, ,3,https://SFMTA.com/24             , , 
16536,SFMTA,25,TREASURE ISLAND, ,3,https://SFMTA.com/25             , , 
16537,SFMTA,27,BRYANT, ,3,https://SFMTA.com/27             , , 
16538,SFMTA,28,19TH AVENUE, ,3,https://SFMTA.com/28             , , 
16540,SFMTA,29,SUNSET, ,3,https://SFMTA.com/29             , , 
16541,SFMTA,30,STOCKTON, ,3,https://SFMTA.com/30             , , 
16546,SFMTA,33,ASHBURY-18TH ST, ,3,https://SFMTA.com/33             , , 
16550,SFMTA,37,CORBETT, ,3,https://SFMTA.com/37             , , 
16551,SFMTA,38,GEARY, ,3,https://SFMTA.com/38             , , 
16554,SFMTA,38R,GEARY RAPID, ,3,https://SFMTA.com/38R            , , 
16557,SFMTA,43,MASONIC, ,3,https://SFMTA.com/43             , , 
16558,SFMTA,44,O'SHAUGHNESSY, ,3,https://SFMTA.com/44             , , 
16559,SFMTA,45,UNION-STOCKTON, ,3,https://SFMTA.com/45             , , 
16561,SFMTA,48,QUINTARA-24TH STREET, ,3,https://SFMTA.com/48             , , 
16562,SFMTA,49,VAN NESS-MISSION, ,3,https://SFMTA.com/49             , , 
16564,SFMTA,54,FELTON, ,3,https://SFMTA.com/54             , , 
16565,SFMTA,55,DOGPATCH, ,3,https://SFMTA.com/55             , , 
16572,SFMTA,67,BERNAL HEIGHTS, ,3,https://SFMTA.com/67             , , 
16580,SFMTA,90,SAN BRUNO OWL, ,3,https://SFMTA.com/90             , , 
16581,SFMTA,91,3RD-19TH AVE OWL, ,3,https://SFMTA.com/91             , , 
16582,SFMTA,714,BART EARLY BIRD, ,3,https://SFMTA.com/714            , , 
16753,SFMTA,F,MARKET & WHARVES, ,0,https://SFMTA.com/F              , , 
16594,SFMTA,J,CHURCH, ,0,https://SFMTA.com/J              , , 
16597,SFMTA,KBUS,INGLESIDE BUS, ,3,https://SFMTA.com/KBUS           , , 
16614,SFMTA,KT,INGLESIDE-THIRD, ,0,https://SFMTA.com/KT             , , 
16599,SFMTA,L-OWL,OWL TARAVAL, ,3,https://SFMTA.com/L-OWL          , , 
16600,SFMTA,LBUS,TARAVAL BUS, ,3,https://SFMTA.com/LBUS           , , 
16604,SFMTA,MBUS,OCEAN VIEW BUS, ,3,https://SFMTA.com/MBUS           , , 
16605,SFMTA,N,JUDAH, ,0,https://SFMTA.com/N              , , 
16607,SFMTA,N-OWL,OWL JUDAH, ,3,https://SFMTA.com/N-OWL          , , 
16608,SFMTA,NBUS,JUDAH BUS, ,3,https://SFMTA.com/NBUS           , , 
16616,SFMTA,TBUS,THIRD BUS SHUTTLE, ,3,https://SFMTA.com/TBUS           , , 
16765,SFMTA,3652,SPECIAL TERESITA/DIAMOND, ,3,https://SFMTA.com/3652             , , 
